date,hospital,daily,blood_a,blood_b,blood_o,blood_ab,location_centre,location_mobile,type_wholeblood,type_apheresis_platelet,type_apheresis_plasma,type_other,social_civilian,social_student,social_policearmy,donations_new,donations_regular,donations_irregular,date_iso
1/1/2023,Hospital Sultanah Nora Ismail,123,28,30,59,6,1,122,123,0,0,0,120,3,0,21,68,34,2023-01-01
1/1/2023,Hospital Sultanah Aminah,223,63,51,97,12,85,138,223,0,0,0,213,7,3,46,142,35,2023-01-01
1/1/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Sultanah Bahiyah,51,11,17,21,2,21,30,51,0,0,0,47,4,0,5,34,12,2023-01-01
1/1/2023,Hospital Raja Perempuan Zainab II,83,27,21,30,5,71,12,83,0,0,0,67,12,4,10,59,14,2023-01-01
1/1/2023,Hospital Melaka,182,46,33,85,18,0,182,182,0,0,0,168,11,3,21,124,37,2023-01-01
1/1/2023,Hospital Tuanku Jaafar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Tengku Ampuan Afzan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Sultan Haji Ahmad Shah,60,16,14,28,2,0,60,60,0,0,0,57,2,1,5,49,6,2023-01-01
1/1/2023,Hospital Seberang Jaya,129,34,37,50,8,0,129,129,0,0,0,122,7,0,11,102,16,2023-01-01
1/1/2023,Hospital Pulau Pinang,250,66,68,109,7,0,250,250,0,0,0,245,5,0,22,191,37,2023-01-01
1/1/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Raja Permaisuri Bainun,173,38,37,91,7,0,173,173,0,0,0,160,13,0,13,145,15,2023-01-01
1/1/2023,Hospital Taiping,47,15,12,19,1,0,47,47,0,0,0,43,4,0,1,37,9,2023-01-01
1/1/2023,Hospital Seri Manjung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Tengku Ampuan Rahimah,138,44,38,52,4,0,138,138,0,0,0,129,9,0,22,84,32,2023-01-01
1/1/2023,Hospital Sultanah Nur Zahirah,24,4,10,9,1,24,0,24,0,0,0,23,1,0,0,24,0,2023-01-01
1/1/2023,Hospital Queen Elizabeth II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Duchess Of Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Tawau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Umum Sarawak,129,27,38,58,6,0,129,129,0,0,0,125,4,0,14,103,12,2023-01-01
1/1/2023,Hospital Miri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
1/1/2023,Hospital Sibu,83,24,25,30,4,0,83,83,0,0,0,81,2,0,7,66,10,2023-01-01
1/1/2023,Pusat Darah Negara,989,262,286,429,12,209,780,989,0,0,0,879,100,10,147,656,186,2023-01-01
1/2/2023,Hospital Sultanah Nora Ismail,9,2,4,3,0,9,0,9,0,0,0,9,0,0,2,7,0,2023-01-02
1/2/2023,Hospital Sultanah Aminah,165,41,34,82,8,41,124,165,0,0,0,157,8,0,37,98,30,2023-01-02
1/2/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,Hospital Sultanah Bahiyah,47,16,14,16,1,22,25,47,0,0,0,40,5,2,8,27,12,2023-01-02
1/2/2023,Hospital Raja Perempuan Zainab II,58,17,18,19,4,25,33,57,1,0,0,55,3,0,22,26,10,2023-01-02
1/2/2023,Hospital Melaka,89,19,28,38,4,0,89,89,0,0,0,85,4,0,7,69,13,2023-01-02
1/2/2023,Hospital Tuanku Jaafar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,Hospital Tengku Ampuan Afzan,49,16,15,14,4,0,49,49,0,0,0,46,3,0,8,30,11,2023-01-02
1/2/2023,Hospital Sultan Haji Ahmad Shah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,Hospital Seberang Jaya,44,15,8,19,2,0,44,44,0,0,0,41,2,1,6,26,12,2023-01-02
1/2/2023,Hospital Pulau Pinang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02
1/2/2023,Hospital Raja Permaisuri Bainun,87,20,23,39,5,0,87,87,0,0,0,81,5,1,13,59,15,2023-01-02
1/2/2023,Hospital Taiping,48,15,12,16,5,0,48,48,0,0,0,43,4,1,6,35,7,2023-01-02
